original_index,original_text,text,augmentation_type,is_augmented,example_very_unclear,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
40,Seriously dude its history,Seriously dude its history,original,FALSE,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Though we think divorce is easy in some countries the reality is its not that straightforward and many women are stuck with serial abusers or serial cheaters for various other reasons What I like to know is what these men are like to outside society,Though we think divorce is easy in some countries the reality is its not that straightforward and many women are stuck with serial abusers or serial cheaters for various other reasons What I like to know is what these men are like to outside society,original,FALSE,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,To the people who are joking around mentioning Bhathiya and Santhush making jokes in serious situations and taking everything lightly is one of the reasons our country is declining day by day,To the people who are joking around mentioning Bhathiya and Santhush making jokes in serious situations and taking everything lightly is one of the reasons our country is declining day by day,original,FALSE,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Another serious issue is that people who are not originally from the villages get acres of land without understanding the local ecosystems,Another serious issue is that people who are not originally from the villages get acres of land without understanding the local ecosystems,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
44,Seriously the gov can save a lot of money if they remove these people from the list,Seriously the gov can save a lot of money if they remove these people from the list,original,FALSE,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Mutual respect is something which is seriously missing,Mutual respect is something which is seriously missing,original,FALSE,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,in the end people will say MR was the LTTE leader seriously what the funk,in the end people will say MR was the LTTE leader seriously what the funk,original,FALSE,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,Fortunately due to a serious family matter I realized how good of a woman she is and started listening to her,Fortunately due to a serious family matter I realized how good of a woman she is and started listening to her,original,FALSE,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
48,Losing a pet is hard and no one really takes your pain seriously,Losing a pet is hard and no one really takes your pain seriously,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,learn basic vocab grammer watch tv series movies listen to music practice with natives,learn basic vocab grammer watch tv series movies listen to music practice with natives,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,I guess my only option is watching yt videos cartoons movies and serials,I guess my only option is watching yt videos cartoons movies and serials,original,FALSE,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Im sure they will make the necessary adjustments to win the series,Im sure they will make the necessary adjustments to win the series,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,Janith is no better than Avishka we are seriously lacking in power hitters who can strike above 120 in the middle,Janith is no better than Avishka we are seriously lacking in power hitters who can strike above 120 in the middle,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
53,When did we last win a odi series away from home,When did we last win a odi series away from home,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,They arent a serious threat and wont ever split Sri Lanka,They arent a serious threat and wont ever split Sri Lanka,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
55,No Sri Lankan administration takes them seriously,No Sri Lankan administration takes them seriously,original,FALSE,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Meanwhile Sinhalese from other regions especially those affected by the war still have lingering trauma and perceives any Tamil movement more seriously and dangerously,Meanwhile Sinhalese from other regions especially those affected by the war still have lingering trauma and perceives any Tamil movement more seriously and dangerously,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57,Broken Record for you and serious business for others,Broken Record for you and serious business for others,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,even their socalled transitional government in new york is made up of opportunists and lawyers not serious actors that actually want to fight against sri lankan,even their socalled transitional government in new york is made up of opportunists and lawyers not serious actors that actually want to fight against sri lankan,original,FALSE,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,No Sri Lankan government takes them seriously and they wont achieve federalism let alone Eelam,No Sri Lankan government takes them seriously and they wont achieve federalism let alone Eelam,original,FALSE,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,Shes a minor so this is definitely a serious case,Shes a minor so this is definitely a serious case,original,FALSE,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,This is a very serious issue better escalate to higher authorities Maybe try some NGO help as well like I put the link,This is a very serious issue better escalate to higher authorities Maybe try some NGO help as well like I put the link,original,FALSE,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,People dont support the elected government unless they vote for it always finds fault in something spreading unwanted hatred going around with some serious ego issues,People dont support the elected government unless they vote for it always finds fault in something spreading unwanted hatred going around with some serious ego issues,original,FALSE,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,I have seriously started to consider these allegations and about these curses that maybe theres some truth to this,I have seriously started to consider these allegations and about these curses that maybe theres some truth to this,original,FALSE,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,there should be atleast a minimum fee so students take it seriously instead of getting drunk and wasted,there should be atleast a minimum fee so students take it seriously instead of getting drunk and wasted,original,FALSE,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
65,This is a serious theological issue,This is a serious theological issue,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Its time to seriously ask why,Its time to seriously ask why,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Also seriously,Also seriously,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Machang ones also good,Machang ones also good,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Make multiple accounts and farm those 10ks from them and ghost S But on a serious note Im sure they will give up,Make multiple accounts and farm those 10ks from them and ghost S But on a serious note Im sure they will give up,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,It was a serious breach of privacy from that bank employee,It was a serious breach of privacy from that bank employee,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
71,SLIIT is a major player in the private education sector a serious competitor,SLIIT is a major player in the private education sector a serious competitor,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,Should try it out thanks machan,Should try it out thanks machan,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,I game on PC machang,I game on PC machang,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,Thanks for all the info machang,Thanks for all the info machang,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,Get a refurbished business class laptop like the thinkpad t or p series or the dell latitude series,Get a refurbished business class laptop like the thinkpad t or p series or the dell latitude series,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,Try to keep total pree seed dilution under 15 so your cap table stays founder friendly through Series A,Try to keep total pree seed dilution under 15 so your cap table stays founder friendly through Series A,original,FALSE,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Once I went to a private hospital for a specialist consult Once the doctor arrived and was heading into his office I swear I kid you not Im serious The nurse at the other end of the hallway shouted Doctor and ran all the way across the long hallway which must have been a couple dozens of meters to open the door and give a bushy smile to him,Once I went to a private hospital for a specialist consult Once the doctor arrived and was heading into his office I swear I kid you not Im serious The nurse at the other end of the hallway shouted Doctor and ran all the way across the long hallway which must have been a couple dozens of meters to open the door and give a bushy smile to him,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,ccp aint for simps like rajapaksha and sirisena or ranil its pretty serious,ccp aint for simps like rajapaksha and sirisena or ranil its pretty serious,original,FALSE,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,its a circus out there i dont think anyone is taking them seriously just passing the time until a new gov including Americans,its a circus out there i dont think anyone is taking them seriously just passing the time until a new gov including Americans,original,FALSE,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
80,Senna in an alternate universe,Senna in an alternate universe,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,They want you to show that you are serious and committed,They want you to show that you are serious and committed,original,FALSE,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,People seriously underestimate how much damage Gota alone did to every aspect of the economy,People seriously underestimate how much damage Gota alone did to every aspect of the economy,original,FALSE,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,EHA GEDARA BALLATA MEHA GEDARATA ENNA NA When the port city was being built SIGIRI GALA KADALA KALU GAL GANNA WEI In my POV we cannot expect any development from such narrow minded peeps,EHA GEDARA BALLATA MEHA GEDARATA ENNA NA When the port city was being built SIGIRI GALA KADALA KALU GAL GANNA WEI In my POV we cannot expect any development from such narrow minded peeps,original,FALSE,,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
84,Is this serious,Is this serious,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Im sorry thats some serious brain fade just read out on all of the post and point out where the false information is,Im sorry thats some serious brain fade just read out on all of the post and point out where the false information is,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
86,In all seriousness SL government in 20222023 again because lot of people including the cardinal kept talking about a mastermind asked for foreign assistance from FBI Australian federal police etc and they all responded that there is no point in further investigations because it has already been done,In all seriousness SL government in 20222023 again because lot of people including the cardinal kept talking about a mastermind asked for foreign assistance from FBI Australian federal police etc and they all responded that there is no point in further investigations because it has already been done,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
87,But assessing a used vehicle before buying is a whole series of headaches,But assessing a used vehicle before buying is a whole series of headaches,original,FALSE,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,seriously in one year you make this assessment,seriously in one year you make this assessment,original,FALSE,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,too easy look at there body language even after getting majority of the votes and with a good margin and with a fairly poor opposition these NPP ministers keep saying BALAYA GATHE AYYE DENNA NEME and also there is blood in there history,too easy look at there body language even after getting majority of the votes and with a good margin and with a fairly poor opposition these NPP ministers keep saying BALAYA GATHE AYYE DENNA NEME and also there is blood in there history,original,FALSE,,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,But its more serious because doctors deal with human lives so theres real risk involved,But its more serious because doctors deal with human lives so theres real risk involved,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
92,We havent won an away series against a top side for a long time,We havent won an away series against a top side for a long time,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,Cant blame the politicians for stealing when the voters have this mindset Seriously shameful to see this kinda comments They illiterates only are the main cause we are suffering today Our responsibility to vote the educated and PAY TAX and bear the burden so atleast our future generations wont curse us like what we are doing,Cant blame the politicians for stealing when the voters have this mindset Seriously shameful to see this kinda comments They illiterates only are the main cause we are suffering today Our responsibility to vote the educated and PAY TAX and bear the burden so atleast our future generations wont curse us like what we are doing,original,FALSE,,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,Its not about if you earn in USD asking what service you provide for the country You seriously fickle with changing your comment completely I earn in USD sooo,Its not about if you earn in USD asking what service you provide for the country You seriously fickle with changing your comment completely I earn in USD sooo,original,FALSE,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Seriously as bad as the political leaders are these days they were much much worse back then,Seriously as bad as the political leaders are these days they were much much worse back then,original,FALSE,,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,The key is to stay calm dont take things too seriously emotionally but always care for your mother with respect,The key is to stay calm dont take things too seriously emotionally but always care for your mother with respect,original,FALSE,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Have a serious talk with your mom and set some boundaries or you will just be going back and forth with the issue and might lead to severing your relationship with your mom explain what youve done for her and make sure to have a good conversation like adults instead of yelling like kids make Sr you get your point across,Have a serious talk with your mom and set some boundaries or you will just be going back and forth with the issue and might lead to severing your relationship with your mom explain what youve done for her and make sure to have a good conversation like adults instead of yelling like kids make Sr you get your point across,original,FALSE,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Thats not how serious global businesses operate,Thats not how serious global businesses operate,original,FALSE,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Baya wenna epa de minimis rule eka thiyana hinda 15K below import charges wadinne nah,Baya wenna epa de minimis rule eka thiyana hinda 15K below import charges wadinne nah,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
100,Are you serious I download over 300GB a month with wifi,Are you serious I download over 300GB a month with wifi,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,seriously you are worried about spending 900 bucks for spotify,seriously you are worried about spending 900 bucks for spotify,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,After paying direct income taxes assessment taxes and then the indirect taxes seriously whats the outstanding benefit received,After paying direct income taxes assessment taxes and then the indirect taxes seriously whats the outstanding benefit received,original,FALSE,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
103,And sure the quality of life is good but when you have a serious health concern and you have to be on a 3 month waiting list to get an appointment with a doctor or pay a fortune to have your problem addressed you would understand that the grass is not always greener on the other side,And sure the quality of life is good but when you have a serious health concern and you have to be on a 3 month waiting list to get an appointment with a doctor or pay a fortune to have your problem addressed you would understand that the grass is not always greener on the other side,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
104,And youre seriously saying JVP wasnt against the IMF,And youre seriously saying JVP wasnt against the IMF,original,FALSE,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,Real economists build models run data and do serious quantitative analysis,Real economists build models run data and do serious quantitative analysis,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,This is actually a serious impediment to more people visiting Sri Lanka rather than say Thailand Bali or Vietnam A lot of tourists are talking up Sri Lanka as the next big thing BUT Sri Lanka has all the makings of a worldclass travel destination stunning beaches lush highlands ancient temples incredible wildlife rich cuisine and some of the friendliest people anywhere,This is actually a serious impediment to more people visiting Sri Lanka rather than say Thailand Bali or Vietnam A lot of tourists are talking up Sri Lanka as the next big thing BUT Sri Lanka has all the makings of a worldclass travel destination stunning beaches lush highlands ancient temples incredible wildlife rich cuisine and some of the friendliest people anywhere,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
